iteration,elapsed_s,iter_s,loss,policy_loss,value_loss,games,positions,buffer,selfplay_s,train_s,games_per_s
154,18814.5,122.7,2.5226,2.4163,0.1062,96,11809,80000,118.0,4.6,0.814
155,18942.3,127.9,2.5133,2.4172,0.0961,96,12877,80000,123.3,4.5,0.779
156,19071.3,129.0,2.4895,2.3988,0.0907,96,13176,80000,124.3,4.6,0.772
157,19198.9,127.6,2.4867,2.3913,0.0954,96,11618,80000,122.9,4.6,0.781
158,19328.0,129.1,2.4847,2.3928,0.0919,96,12577,80000,124.4,4.6,0.772
159,19461.4,133.4,2.4819,2.3968,0.0852,96,13284,80000,128.8,4.6,0.746
160,19592.8,131.3,2.4836,2.3928,0.0908,96,13362,80000,126.6,4.6,0.758
161,19718.1,125.3,2.4766,2.3943,0.0823,96,12250,80000,120.6,4.6,0.796
162,19843.4,125.3,2.5011,2.4124,0.0888,96,12106,80000,120.7,4.6,0.796
163,19970.4,127.0,2.4972,2.4137,0.0836,96,12407,80000,122.3,4.6,0.785
164,20100.2,129.9,2.5129,2.4212,0.0918,96,12825,80000,125.3,4.4,0.766
165,20222.1,121.9,2.5177,2.4266,0.091,96,12597,80000,117.4,4.4,0.818
166,20343.9,121.8,2.537,2.4393,0.0976,96,12413,80000,117.2,4.5,0.819
167,20464.4,120.5,2.5284,2.436,0.0924,96,12388,80000,116.0,4.4,0.827
168,20584.8,120.4,2.5221,2.4235,0.0985,96,10967,80000,115.8,4.5,0.829
169,20705.7,120.9,2.528,2.4226,0.1054,96,11641,80000,116.4,4.4,0.825
170,20834.3,128.6,2.524,2.4227,0.1012,96,12955,80000,124.0,4.5,0.774
171,20952.9,118.6,2.5216,2.4206,0.101,96,11618,80000,114.0,4.4,0.842
172,21073.5,120.6,2.5236,2.4158,0.1078,96,11730,80000,116.0,4.4,0.828
173,21197.9,124.5,2.5046,2.4064,0.0983,96,12590,80000,120.0,4.4,0.8
174,21321.0,123.1,2.4911,2.3976,0.0935,96,11892,80000,118.5,4.4,0.81
175,21444.2,123.2,2.4815,2.3856,0.0959,96,13019,80000,118.7,4.5,0.809
176,21568.0,123.8,2.4816,2.3818,0.0998,96,12229,80000,119.2,4.4,0.805
177,21687.4,119.4,2.4647,2.364,0.1007,96,11549,80000,114.9,4.4,0.836
178,21813.3,125.9,2.468,2.3629,0.1051,96,12729,80000,121.4,4.5,0.791
179,21938.0,124.7,2.4616,2.3608,0.1008,96,12084,80000,120.1,4.5,0.799
180,22066.6,128.6,2.4692,2.3704,0.0987,96,13018,80000,124.0,4.5,0.774
181,22197.3,130.6,2.475,2.3746,0.1004,96,12719,80000,126.0,4.5,0.762
182,22321.0,123.8,2.4772,2.3756,0.1016,96,12724,80000,119.2,4.5,0.805
183,22439.2,118.1,2.4785,2.3802,0.0983,96,11966,80000,113.6,4.5,0.845
184,22560.9,121.7,2.4799,2.3901,0.0898,96,12469,80000,117.2,4.5,0.819
185,22681.2,120.3,2.4986,2.3962,0.1024,96,11922,80000,115.8,4.4,0.829
186,22802.6,121.4,2.5103,2.4044,0.1059,96,12197,80000,116.9,4.4,0.821
187,22927.1,124.5,2.5014,2.4058,0.0956,96,12327,80000,119.9,4.5,0.801
188,23054.5,127.4,2.5134,2.4129,0.1005,96,11678,80000,122.9,4.4,0.781
189,23180.5,126.0,2.4941,2.4048,0.0893,96,12844,80000,121.4,4.5,0.791
190,23302.4,121.9,2.4822,2.4003,0.0819,96,12230,80000,117.4,4.4,0.818
191,23423.7,121.3,2.495,2.3901,0.1049,96,12298,80000,116.8,4.5,0.822
192,23547.1,123.3,2.4764,2.3837,0.0927,96,12658,80000,118.8,4.4,0.808
193,23672.9,125.9,2.47,2.381,0.089,96,13153,80000,121.3,4.5,0.791
194,23794.9,122.0,2.4636,2.3708,0.0928,96,12736,80000,117.4,4.4,0.818
195,23919.4,124.5,2.4655,2.3739,0.0916,96,12705,80000,120.0,4.4,0.8
196,24047.9,128.4,2.4596,2.3716,0.088,96,12528,80000,123.8,4.5,0.775
197,24172.3,124.4,2.4607,2.3739,0.0867,96,12695,80000,119.9,4.4,0.801
198,24293.2,120.9,2.4641,2.3791,0.085,96,12576,80000,116.4,4.5,0.825
199,24410.8,117.6,2.4717,2.3814,0.0904,96,11118,80000,113.1,4.5,0.849
200,24535.1,124.3,2.4807,2.3937,0.087,96,12070,80000,119.8,4.5,0.801
201,24655.4,120.3,2.4859,2.395,0.091,96,11599,80000,115.7,4.4,0.83
202,24775.4,120.0,2.4911,2.3998,0.0913,96,11591,80000,115.5,4.4,0.832
203,24900.9,125.5,2.5089,2.4093,0.0996,96,12372,80000,120.9,4.5,0.794
204,25021.8,120.9,2.5049,2.4038,0.1011,96,11905,80000,116.3,4.4,0.825
205,25146.6,124.8,2.5033,2.4067,0.0966,96,12597,80000,120.3,4.4,0.798
206,25269.2,122.6,2.5047,2.4118,0.0929,96,12300,80000,118.0,4.5,0.813
207,25396.2,127.1,2.493,2.4024,0.0905,96,12729,80000,122.6,4.4,0.783
208,25517.6,121.4,2.4797,2.3895,0.0902,96,12192,80000,116.9,4.4,0.821
209,25642.3,124.7,2.4776,2.3887,0.0889,96,13438,80000,120.2,4.4,0.799
210,25764.3,122.0,2.4537,2.3705,0.0832,96,11578,80000,117.5,4.4,0.817
211,25886.2,121.8,2.4717,2.3797,0.0921,96,12388,80000,117.3,4.4,0.818
212,26011.8,125.6,2.4721,2.385,0.0871,96,12449,80000,121.1,4.5,0.793
213,26133.7,121.9,2.4971,2.4063,0.0908,96,12388,80000,117.4,4.5,0.818
214,26256.0,122.3,2.4907,2.4025,0.0882,96,12322,80000,117.8,4.4,0.815
215,26379.2,123.2,2.5107,2.4101,0.1006,96,11470,80000,118.7,4.5,0.809
216,26501.5,122.3,2.5276,2.4316,0.096,96,12574,80000,117.8,4.4,0.815
217,26621.7,120.2,2.5215,2.4343,0.0872,96,12227,80000,115.7,4.5,0.83
218,26742.8,121.1,2.516,2.432,0.084,96,11406,80000,116.5,4.4,0.824
219,26865.6,122.8,2.5162,2.4277,0.0886,96,11872,80000,118.3,4.5,0.812
220,26990.3,124.7,2.5199,2.4284,0.0915,96,12624,80000,120.2,4.5,0.799
221,27108.7,118.4,2.5268,2.4299,0.0969,96,12088,80000,113.9,4.4,0.843
222,27229.1,120.4,2.5153,2.4232,0.0921,96,11660,80000,115.9,4.4,0.828
223,27352.3,123.1,2.5071,2.4153,0.0918,96,12264,80000,118.6,4.5,0.81
224,27475.7,123.5,2.5103,2.4186,0.0917,96,11898,80000,118.9,4.5,0.807
225,27602.4,126.7,2.5147,2.4224,0.0923,96,12796,80000,122.2,4.5,0.786
226,27724.8,122.4,2.5138,2.4193,0.0945,96,12703,80000,117.8,4.5,0.815
227,27850.8,126.0,2.5069,2.4157,0.0911,96,12259,80000,121.4,4.4,0.79
228,27969.4,118.6,2.5072,2.4178,0.0893,96,11291,80000,114.1,4.5,0.841
229,28093.7,124.4,2.521,2.4328,0.0882,96,12654,80000,119.9,4.4,0.801
230,28214.4,120.7,2.525,2.4335,0.0915,96,11922,80000,116.2,4.4,0.826
231,28334.9,120.5,2.5181,2.4254,0.0927,96,11370,80000,116.0,4.4,0.828
232,28456.4,121.5,2.5267,2.4316,0.0951,96,12018,80000,117.0,4.4,0.821
233,28574.9,118.5,2.5392,2.4389,0.1003,96,12068,80000,114.0,4.5,0.842
234,28699.4,124.5,2.5332,2.4391,0.0941,96,11660,80000,120.0,4.4,0.8
235,28824.3,124.9,2.507,2.4251,0.0818,96,12730,80000,120.4,4.4,0.798
236,28943.5,119.2,2.5141,2.4208,0.0933,96,11671,80000,114.7,4.4,0.837
237,29064.0,120.5,2.529,2.4362,0.0928,96,11812,80000,115.9,4.5,0.828
238,29188.7,124.8,2.5347,2.4359,0.0988,96,12541,80000,120.2,4.5,0.799
239,29310.7,122.0,2.5171,2.4247,0.0925,96,12244,80000,117.5,4.5,0.817
240,29431.3,120.5,2.5098,2.4171,0.0927,96,12395,80000,116.0,4.4,0.827
241,29557.0,125.7,2.5084,2.4141,0.0943,96,12464,80000,121.2,4.4,0.792
242,29678.2,121.2,2.4927,2.3917,0.101,96,12373,80000,116.6,4.5,0.823
243,29801.8,123.6,2.4662,2.3697,0.0964,96,12544,80000,119.0,4.5,0.807
244,29927.1,125.3,2.4394,2.3438,0.0957,96,12610,80000,120.8,4.4,0.795
245,30045.5,118.4,2.45,2.3458,0.1042,96,11825,80000,113.9,4.5,0.843
246,30169.5,124.1,2.4372,2.3414,0.0958,96,13009,80000,119.5,4.5,0.803
247,30291.6,122.1,2.4288,2.3323,0.0966,96,12517,80000,117.6,4.4,0.817
248,30409.6,118.0,2.4332,2.3361,0.0972,96,11689,80000,113.5,4.5,0.846
249,30535.1,125.5,2.44,2.3396,0.1004,96,12036,80000,121.0,4.5,0.794
250,30664.1,129.0,2.4555,2.3543,0.1012,96,12357,80000,124.5,4.4,0.771
251,30790.4,126.3,2.4609,2.3548,0.1061,96,11947,80000,121.8,4.5,0.788
252,30908.3,117.9,2.4625,2.3611,0.1014,96,11569,80000,113.4,4.4,0.847
253,31038.4,130.1,2.4621,2.362,0.1001,96,13794,80000,125.6,4.4,0.764
254,31166.1,127.7,2.4528,2.3486,0.1042,96,12766,80000,123.2,4.4,0.779
255,31291.1,125.0,2.4295,2.3352,0.0944,96,12979,80000,120.4,4.5,0.797
256,31417.8,126.7,2.4368,2.3387,0.0981,96,12410,80000,122.2,4.5,0.786
257,31541.5,123.7,2.4349,2.3303,0.1046,96,12527,80000,119.3,4.4,0.805
258,31665.0,123.5,2.42,2.3175,0.1026,96,12455,80000,119.0,4.4,0.807
